ITERACAO,TEMPO (s),DESLOCAMENTO (m)
0,0.0000000000000000,0.0000000000000000
1000,0.17186354221011724E-001,-0.21540775496261292E-002
2000,0.34372708442023447E-001,-0.82581544426065332E-002
3000,0.51559062663035164E-001,-0.17564150586803894E-001
4000,0.68745416884046895E-001,-0.29113154468888042E-001
5000,0.85931771105058605E-001,-0.41825259381965942E-001
6000,0.10311812532607033,-0.54599279408554066E-001
7000,0.12030447954708205,-0.66414071211018624E-001
8000,0.13749083376809379,-0.76415949780314116E-001
9000,0.15467718798910551,-0.83980408200858961E-001
10000,0.17186354221011721,-0.88743754910289727E-001
11000,0.18904989643112893,-0.90606065432914148E-001
12000,0.20623625065214066,-0.89709595072436712E-001
13000,0.22342260487315238,-0.86397856203850085E-001
14000,0.24060895909416410,-0.81161410062687012E-001
15000,0.25779531331517586,-0.74577237948831199E-001
16000,0.27498166753618758,-0.67248721071507422E-001
17000,0.29216802175719930,-0.59752394185556196E-001
18000,0.30935437597821103,-0.52595951884475377E-001
19000,0.32654073019922270,-0.46189957831861972E-001
20000,0.34372708442023442,-0.40833733879804886E-001
21000,0.36091343864124614,-0.36714208086562158E-001
22000,0.37809979286225787,-0.33915199912207386E-001
23000,0.39528614708326959,-0.32433807632689715E-001
24000,0.41247250130428131,-0.32200291144372513E-001
25000,0.42965885552529304,-0.33098097302205892E-001
26000,0.44684520974630476,-0.34981359670872153E-001
27000,0.46403156396731648,-0.37688167912178938E-001
28000,0.48121791818832821,-0.41048969495710609E-001
29000,0.49840427240933993,-0.44890471113976468E-001
30000,0.51559062663035171,-0.49036210057280087E-001
31000,0.53277698085136338,-0.53305468891750085E-001
32000,0.54996333507237516,-0.57512362033378964E-001
33000,0.56714968929338683,-0.61466735278358907E-001
34000,0.58433604351439861,-0.64978043246601835E-001
35000,0.60152239773541027,-0.67862697685008980E-001
36000,0.61870875195642205,-0.69954627026399860E-001
37000,0.63589510617743372,-0.71118075233070524E-001
38000,0.65308146039844539,-0.71261104623359495E-001
39000,0.67026781461945717,-0.70347936140403383E-001
40000,0.68745416884046884,-0.68408208457217304E-001
41000,0.70464052306148062,-0.65541471132807533E-001
42000,0.72182687728249229,-0.61915713394896515E-001
43000,0.73901323150350406,-0.57759402561822763E-001
44000,0.75619958572451573,-0.53347274275219306E-001
45000,0.77338593994552751,-0.48980879967702319E-001
46000,0.79057229416653918,-0.44965557007643500E-001
47000,0.80775864838755096,-0.41585961044773349E-001
48000,0.82494500260856263,-0.39082530334797062E-001
49000,0.84213135682957441,-0.37631211989823762E-001
50000,0.85931771105058607,-0.37328477314826684E-001
51000,0.87650406527159785,-0.38183126271255446E-001
52000,0.89369041949260952,-0.40115693581969147E-001
53000,0.91087677371362130,-0.42965501913961021E-001
54000,0.92806312793463297,-0.46504648125736486E-001
55000,0.94524948215564475,-0.50457539942779718E-001
56000,0.96243583637665642,-0.54524092203696556E-001
57000,0.97962219059766820,-0.58404392667158272E-001
58000,0.99680854481867986,-0.61822580499037230E-001
59000,1.0139948990396916,-0.64547842437920971E-001
60000,1.0311812532607034,-0.66410794013372770E-001
61000,1.0483676074817150,-0.67314027593419493E-001
62000,1.0655539617027268,-0.67236213634322473E-001
63000,1.0827403159237385,-0.66229768738271799E-001
64000,1.0999266701447503,-0.64412688597411644E-001
65000,1.1171130243657619,-0.61955629702119520E-001
66000,1.1342993785867737,-0.59065669208311029E-001
67000,1.1514857328077854,-0.55968354565308381E-001
68000,1.1686720870287972,-0.52889669288856730E-001
69000,1.1858584412498088,-0.50039402331175625E-001
70000,1.2030447954708205,-0.47597144630255425E-001
71000,1.2202311496918323,-0.45701786444938906E-001
72000,1.2374175039128441,-0.44444996917147886E-001
